age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,worker_id
32, Private,190511, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,11d6cd82-8a64-4993-9bcb-c473a901f123
23, Private,260254, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,a9cce829-e38f-413f-a794-582a6047d0e3
26, Private,94392, 11th,7, Separated, Other-service, Unmarried, White, Female,0,0,20, United-States,e7b351ab-9fb6-42ec-811f-358f9b136154
28, Federal-gov,329426, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,b272cc67-2230-45fa-8a4d-be48f89ddaf5
30, Private,167309, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,40, United-States,70ff0e6d-1590-45bf-a998-806e72671afc
18, Private,188476, 11th,7, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States,e4115714-f646-4eaa-8364-c110a55faa5e
34, Private,456399, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,e13ad244-b684-47b6-9436-6a370c466b74
25, Private,184303, Some-college,10, Separated, Priv-house-serv, Other-relative, White, Female,0,0,30, El-Salvador,ea990535-e747-4534-a19a-4720dfae158d
54, Private,96710, HS-grad,9, Married-civ-spouse, Priv-house-serv, Other-relative, Black, Female,0,0,20, United-States,c0ef6d33-cdcf-498f-9ad7-801857ae7f08
37, Private,160035, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,47ce0fc5-6055-488e-97bd-8a605f2e1658
45, Private,287190, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States,53dd707c-55e6-4d72-afbd-ae1c8750ace0
48, Private,107231, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States,44896b95-6831-42e8-a3d7-e0ed26602eeb
72, Private,38360, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,16, United-States,814ae862-8911-4d85-a099-bf35ae53e7fc
45, Federal-gov,232997, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States,dfe1d211-aecc-458a-940e-6053b2c0b3c5
45, Self-emp-inc,145290, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,c303d1a0-4ea1-4550-ad7f-a0a370beb9bf
45, Local-gov,257855, 11th,7, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, United-States,eaa87489-e3ec-40d5-bdee-7fad32ffce3f
20, Private,347530, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,25, United-States,0e3eef43-ec6d-4fd6-a3cc-8c6da817dac4
64, ?,178556, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,56, United-States,a3c11904-eec3-4ed5-b1ed-3be778b2ec4c
45, Private,155659, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,163e6edd-bfff-495d-89c7-4e18a40b39a7
45, Private,135044, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,cf5544af-9d3a-44a8-9c30-f5348a0685fe
20, ?,193416, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States,060aed00-41f1-4d19-8edf-c6325e1a2299
46, Private,65353, Some-college,10, Divorced, Transport-moving, Own-child, White, Male,3325,0,55, United-States,18e1185b-a35a-43a8-a660-2be00ee66347
26, Federal-gov,352768, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States,b17e4801-46b3-4e13-88c8-816d8570620c
28, Private,177119, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,80, ?,6f123f38-5bdb-423c-bc6e-156450d99aa7
60, Private,121127, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States,fc6118ea-40b1-4d81-af4b-86679ee2b815
31, Local-gov,206297, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,c7325682-dd22-4b5d-82b7-c4c312a0fea8
19, Private,84747, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,24, United-States,f9e8022d-61a9-48cc-a6e3-3a1bbe97e1ae
27, Private,57052, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2885,0,40, United-States,61e46e6e-016f-4b30-94cb-124ae9f632b1
62, Local-gov,291175, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,48, United-States,71480a03-ab27-45e7-9278-4a1c97ebc694
49, Private,228583, HS-grad,9, Divorced, Other-service, Unmarried, White, Male,0,0,40, Columbia,3cb05699-0575-4571-ae79-418792d33864
48, Private,125892, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland,d5f0efd7-5736-4938-b704-47ce205148db
25, Private,154941, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,5f3792d2-cb05-44a0-a685-afbed8f2e240
25, State-gov,262664, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,e19c714c-c026-41a2-bc29-855987afc440
37, Private,162494, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,fffa3e31-1473-4a77-bdcc-ff6be292eff9
81, ?,106765, Some-college,10, Widowed, ?, Unmarried, White, Female,0,0,4, United-States,627ca5de-4537-45e8-b82e-d4da9884a9ea
41, State-gov,227734, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,3464,0,40, United-States,07fda731-832b-4538-a5fb-b5fcb58a72ac
22, Private,283499, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States,528c8f68-789f-4653-a02b-65fd4ce3ac58
47, Self-emp-inc,186410, Prof-school,15, Never-married, Other-service, Not-in-family, White, Male,0,0,60, United-States,3db8f2d9-28bf-4fd7-b3ba-2a3021b3739d
36, Private,33887, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0d3183fc-4aa9-4289-bbce-4f1ed8fae61e
45, Private,278151, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,bed907c9-784c-4343-91fe-a49b8a84c6f7
24, Private,113466, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,1d2dfb5c-9e00-48e5-98d7-73868e927bd9
23, Private,172047, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,71ceb344-1a86-40e3-b7b4-a7000e244e92
37, Private,355856, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,c9bc2e61-8876-4770-bd02-ef6119cea521
26, State-gov,28366, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,a8c66738-c57c-431b-8c84-24217ed0be5a
39, Private,29814, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,4db026e4-8ba1-4de6-86e0-dfb2b3d8a9d7
47, Private,227310, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,7570939b-1b7c-40be-a9f4-dc9ea1de6afb
49, Private,139268, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,fd9e75e7-c25c-4697-85ed-45708ebe175e
63, Private,106023, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,d05a2c41-2cdd-469b-af9c-0c5605df9535
18, Private,294253, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,27, United-States,05157140-e4b4-4de5-9ffd-dd9a9091b345
29, Private,152461, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,14344,0,50, United-States,9194798c-34e8-4cd1-9f23-e3c356455d14
35, Private,336793, Bachelors,13, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States,f90612af-eebc-4968-b18f-27149aa5f284
34, Private,24266, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,7ec80c63-7415-4eff-8568-ff788603894f
43, Private,110970, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States,1910fc7c-d5b1-44c6-9a1d-aefb4714ffb6
36, Private,188540, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,5c9ec37c-8f6d-476a-9bf4-32b4112565ac
63, Private,187635, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,fd7372f2-1c96-489a-8b06-71a0bffaef47
35, Private,175614, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,67914c0d-829a-4491-b89b-5cfd2c818455
42, Private,161510, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States,51a0a6de-25b9-454a-b9b6-7194e71adb8c
43, Private,233130, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,20, United-States,4e18a830-256f-4f91-8e51-436893713b3e
26, Local-gov,386949, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States,6cf2cc77-89a3-4e4d-b212-4b280fa110f0
55, Private,104996, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,9a716a08-c86d-45e4-8b9a-664000670b0d
25, Private,47353, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,2401fadf-1cd6-4a88-8944-067fd561140a
23, Private,217961, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States,7ba6c806-34a1-4204-b43b-0900c180d6b4
37, Self-emp-not-inc,326400, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States,38ba206e-b08d-49ea-bc0c-6d55e5635e6c
62, Private,109463, Some-college,10, Separated, Sales, Unmarried, White, Female,0,1617,33, United-States,6df2ed18-5c98-465b-990b-1161cc0a7fb0
18, Private,236262, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States,f6c8b0c4-7876-468d-bd21-53378f99894c
55, ?,103654, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,20, United-States,be1b77a2-8e95-45c5-8ccb-742202396753
36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,212f596e-c2fa-4588-bef0-76315b08731d
27, ?,224421, Some-college,10, Divorced, ?, Own-child, White, Male,0,0,40, United-States,d3e63a69-8871-428f-8212-5dcf4fb300ab
24, Private,33088, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,e4f932e8-fe1c-457d-abfd-2aafd7d49b69
40, Private,287008, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,55, Germany,45f73aaf-3076-46bd-bab5-176bb4bcb7d3
33, Private,93056, 7th-8th,4, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,05eca9c3-c881-47c1-b3d0-208b88737d48
47, Private,386136, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States,4f0e339a-b495-4fd9-a074-b6690dfe9475
20, ?,195767, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40, United-States,098a10c0-4ae7-48f5-aba6-b5bcdf10547d
51, Self-emp-not-inc,149220, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,75, United-States,c864ec7e-6670-4fd5-adcb-cd97102f2483
47, Private,316101, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,94da1d01-8543-4aa4-8b1f-1f2780d17026
41, Private,112181, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,12, United-States,965dc2ea-fb1e-4655-a435-341359554ebe
38, Private,174717, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0136cfa0-d038-4f0b-8181-8af6dba3988b
34, Local-gov,353270, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States,c1b6e830-b452-4925-a35c-ef4acfd49963
52, Self-emp-not-inc,185407, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,2f40319d-ff10-4d8e-82cf-d4698ff758f1
37, Self-emp-not-inc,137527, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,2559,60, United-States,61b613dd-c941-4a4e-b711-03ed4897d286
22, Private,85389, HS-grad,9, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,2a50ccfe-a4bb-4b2a-8388-52a4bf4eaed7
19, Private,129059, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States,5185e6e5-a483-4bf3-aa74-f8e8d2bacf90
31, Private,159187, HS-grad,9, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States,0c0721bb-a710-4154-ad19-0d7518717b21
24, Private,182276, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States,9efcb1e4-5b79-42b6-b025-d8df0700c25b
20, ?,174461, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,5, United-States,0b44cbc1-5428-41a0-b213-d8019663cccc
42, Private,87284, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,35, United-States,bc3a8bb8-62be-4866-b3ec-10cc8710ce4d
45, Private,38950, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,7342af9d-de60-4d79-91c3-0633f395ac58
26, Private,31290, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,18d2a599-f54a-4b5d-b826-3de4385aaedc
26, Private,120238, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,928d600d-bf74-4f04-981d-e658c9e268fe
31, Private,117526, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States,ba70f6ff-2223-4df8-acb4-c33234b12b25
50, Private,268553, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States,1a05a375-8cfd-4565-a6af-25657f0af156
54, Private,155433, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States,35ddfa7a-cc45-41d7-bb70-6a3e488ed41f
47, Private,163814, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,ca1f17e3-fc40-4b0b-8f47-ec257b73ea9b
28, Private,36601, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States,e4201e4f-f37c-4dda-a7bd-444a6da34be0
68, Private,75913, 12th,8, Widowed, Sales, Not-in-family, White, Female,0,0,30, United-States,170a5811-0fad-4be2-bd73-acafa6cda3f7
48, Private,276664, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States,0d017df1-076a-4a86-bd5b-38a87188626d
32, Private,191777, Masters,14, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States,60c0ff9f-f677-4882-a05f-2b6aa22217a7
38, Private,204501, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States,cd855d28-c40e-4284-9849-85a38f576d39
46, Self-emp-inc,168796, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States,f5a1f913-f7bf-499c-9313-2ff96af5cb3d
30, Self-emp-inc,127651, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,48, United-States,538f6cb9-fe10-43aa-981e-5370f49a529b
90, Local-gov,187749, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,20, Philippines,054cdc9f-568f-466a-9ab4-e293c18ebeb5
57, Private,141570, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, United-States,7ff70002-c789-4e74-beb2-bf08e3b58706
35, Private,63021, Some-college,10, Divorced, Sales, Not-in-family, White, Female,0,0,35, United-States,da58cd4c-102e-42db-b2f5-4413cb167338
42, State-gov,160369, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,ca2a12f7-9115-4a09-824f-6077ace0dd0d
54, Federal-gov,27432, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,4c96f831-3719-4fbd-9699-600713be3a35
42, Private,152568, HS-grad,9, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States,1855b760-cceb-439d-9601-210c9aafe941
41, Private,46870, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,bdc06825-975b-4ac7-a5c1-db0d8bd3a03d
47, State-gov,118447, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,31112d41-30dc-4a6b-a034-26629bc8a3f2
18, Self-emp-not-inc,60981, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,4, United-States,fb8cba8e-1835-4d7f-ae8c-c7633e7e2f1a
63, ?,247986, Prof-school,15, Married-civ-spouse, ?, Husband, White, Male,0,0,30, United-States,0e670be0-1a64-49a2-9082-e62bb0720a1c
21, Private,199419, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,9d621e05-f28b-4963-b6d0-2a627fa40e36
46, Private,99385, Bachelors,13, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,4e14a774-3074-4956-a612-1a55499cf3b4
72, ?,303588, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States,12a7e5fe-9aec-4c8d-8d3a-9fde79b03e09
34, State-gov,318982, Masters,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1848,40, United-States,151c682d-7781-4a9e-ae47-23bcba497d56
47, Private,169092, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States,a655306e-0697-499c-8c2a-782378efe258
59, Self-emp-not-inc,223131, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0e9d7d20-5aa9-410a-b6d1-242cf4251005
59, Local-gov,171328, HS-grad,9, Separated, Protective-serv, Other-relative, Black, Female,0,2339,40, United-States,7b31e96d-6968-4db7-bc0f-b6862cffb762
46, Private,328216, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,f14b1615-512d-4b83-aec9-1d9303397e5b
62, Self-emp-inc,354075, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0fed7af1-2bbc-46a6-a359-ce69e666dd36
23, Private,140798, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,f0900e0b-2819-402a-91fd-3198facf30f7
47, Private,184005, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,3325,0,45, United-States,ab239119-523f-485a-9462-a78f17b345bb
46, Private,149949, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,15795dfd-7108-4b96-bccb-b6d7832dc98e
50, Local-gov,226497, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,52, United-States,9a536a10-5472-4386-86ea-d7e56817d528
43, Private,106760, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, Canada,3c2e8795-4606-4381-af23-e29884be2689
52, Self-emp-not-inc,40200, Some-college,10, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,35, United-States,b6cd2555-a69a-4914-943c-34f474857b95
26, Private,152035, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,1d4952b1-162e-49bf-9219-a904631604cf
30, Private,342709, HS-grad,9, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0,0,40, United-States,595c711b-0e39-4189-854c-dedac674092f
42, Private,126098, HS-grad,9, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, United-States,b471e525-f675-4a72-8c30-90998e6e2cb8
17, Private,184198, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,13, United-States,968de761-2d57-4980-b15f-5a6375f6e630
29, Local-gov,205262, Some-college,10, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Ecuador,f4f5387f-91ff-4a2b-8409-ab071349a9ce
40, Private,234633, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,18dfd539-aa53-4f37-9f2d-8046546388ef
21, ?,124242, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States,e878192d-ea58-4972-9758-437471dfa090
40, Private,272343, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,de05b2fd-a512-4a92-bd5f-557718f087ff
68, Private,351711, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,16376489-ebe6-4c83-a5a0-f3bbea81a3f3
40, Private,289309, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,48, United-States,79c7cd2f-b663-428c-a68f-192b24703cc4
23, Private,112819, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,d4da5f42-4578-4082-a503-a141a84cf61f
52, Private,72743, HS-grad,9, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States,7048362e-ac00-4d22-b2a3-81fdc7d1f324
63, Private,125954, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,2174,0,40, United-States,b7022a85-60be-4284-bc28-12b898b14fe7
51, Self-emp-inc,231230, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, United-States,276fc657-0330-46be-acac-0d7d9e871e8d
19, Private,195985, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,aa9acbce-17f3-4bbb-bb54-7ac2b0331cc0
42, Self-emp-not-inc,29320, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Male,0,0,60, United-States,1dd711a6-3616-4f90-9af0-9c4b217bfb90
26, Private,263200, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States,c7c61d7b-ac49-4cb8-8efb-c08e683a106c
50, Private,143953, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States,0690b9a1-808c-45de-8b56-27371aa4744e
41, Private,113555, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7298,0,50, United-States,7fb35cc6-dc83-42d3-bd39-77773e3e1c69
27, Federal-gov,38645, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,412e64c5-9527-47e3-b22e-a164c58a5b8e
