age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,worker_id,income_x,income_y
19, Private,187161, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,9f7a050f-5378-497e-a610-5ec769d502e9, <=50K, <=50K
21, Private,43475, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,ecd10b1e-2213-438f-ac28-2cb80e60281a, <=50K, <=50K
49, Private,105444, 12th,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,39, United-States,2ad238ec-cd8c-40e1-ad4b-3438645e2e61, <=50K, <=50K
66, Private,216856, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,ff51aa95-7796-4ea5-b9f4-8f32d504de44, <=50K, <=50K
41, Private,67339, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, ?,96d40b7b-7275-4919-854e-14cbdac5c2b6, <=50K, <=50K
44, Self-emp-inc,120277, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,45, United-States,b651423d-6e8d-460b-a50e-a45f3615dbe5, >50K, >50K
29, Private,149943, Some-college,10, Never-married, Other-service, Not-in-family, Other, Male,0,1590,40, ?,81814f88-76c6-4737-9837-fbfc0ca84013, <=50K, <=50K
53, Private,202720, 9th,5, Married-spouse-absent, Machine-op-inspct, Unmarried, Black, Male,0,0,75, Haiti,e3045f15-22e5-47e8-ae19-3700e62f2099, <=50K, <=50K
20, ?,162667, HS-grad,9, Never-married, ?, Other-relative, White, Male,0,0,40, El-Salvador,201d4ccf-495e-462c-af57-7a88c2760a31, <=50K, <=50K
23, Private,348420, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,700755ec-8d96-4077-b593-4bd8cd0ad913, <=50K, <=50K
56, Private,172364, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,e66d0922-6ed4-4a1b-ae7b-d7d01e6fd602, <=50K, <=50K
23, State-gov,110128, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,1539b7da-435b-478c-8ea9-7b2d6c219ad4, <=50K, <=50K
40, Self-emp-not-inc,243636, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,cca3cab5-2565-4146-a594-5c5c74742d3d, >50K, >50K
50, Federal-gov,32801, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States,23108215-2585-43a1-a117-bc0df4ea299b, >50K, >50K
59, Private,99131, HS-grad,9, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,18, United-States,1fa22370-7f23-4089-b2ad-03abf741857f, <=50K, <=50K
52, Federal-gov,202452, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,43, United-States,82eaadee-1742-48f1-a0bd-6572e00e3170, <=50K, <=50K
23, Private,352606, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States,63fa00f1-cd37-4f26-8462-80a1e594164b, <=50K, <=50K
37, Self-emp-inc,30529, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,2415,50, United-States,7aaa87a9-7a87-4888-91b1-3a1e31177448, >50K, >50K
36, Private,257942, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,c30fe291-38f7-4735-bee5-eb34ae6ba849, <=50K, <=50K
22, ?,42004, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States,7265aa3a-0eba-4480-b4d8-3c4ac39aaa0d, <=50K, <=50K
47, Private,464945, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States,022b66d7-3c13-4b35-8cb5-3814108b02e5, <=50K, <=50K
42, Local-gov,340148, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,2f01f3b0-a550-46e9-9599-383d958d9d9a, <=50K, <=50K
20, State-gov,178517, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States,4413b5a8-9861-422e-9dd2-9c7e68818ae5, <=50K, <=50K
57, Private,210496, 10th,6, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States,998e959a-cad1-47f5-b213-d2442cf1bc49, <=50K, <=50K
40, State-gov,177083, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States,4522985b-c726-4720-9b02-41faecf70419, <=50K, <=50K
29, Private,168479, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,53ed5286-3ed5-49cd-98d7-d1e00131b1f8, >50K, >50K
34, Self-emp-not-inc,168906, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States,d174f0c4-a304-42da-aa7a-5e747d3fc604, <=50K, <=50K
33, Private,549413, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,b389505c-d1ae-493e-b2df-7b2a5e90a306, >50K, >50K
25, Private,253267, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,1902,36, United-States,607107b1-334e-4c65-a3a4-04efc049f428, >50K, >50K
39, Private,101260, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,20ad60cc-28ee-44c1-80db-f9b4dc7b92b0, <=50K, <=50K
62, ?,160155, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,6418,0,40, United-States,c12c75fc-e84c-4db0-ab13-06bf0adb2852, >50K, >50K
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,6b131cac-ae53-46e7-916b-0caa613cff87, >50K, >50K
49, Self-emp-inc,197038, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,9f68323a-c4d1-465a-ab73-7c7037c21529, >50K, >50K
51, Self-emp-inc,129525, HS-grad,9, Never-married, Sales, Other-relative, White, Male,0,0,40, ?,607fd1d8-ee4e-4eac-bcf6-e85518263230, <=50K, <=50K
69, Private,125437, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,32, United-States,0b6b14ed-dd19-4665-8ed3-976d420c3efc, <=50K, <=50K
35, Private,199352, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,80, United-States,fbd0e44f-432f-4103-bd18-3f6977eb4a1e, >50K, >50K
39, Private,158956, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States,d6acc2e5-99b3-4c41-9901-2431894f99cd, <=50K, <=50K
24, Private,293324, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,9327639f-84a3-4209-8c45-1ee6c457bf61, <=50K, <=50K
55, Self-emp-not-inc,308746, Prof-school,15, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,c16dd0bf-6550-43cd-8899-f00de96e8948, >50K, >50K
37, Private,195189, Some-college,10, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States,81489e9c-b2d2-465e-b142-401590203479, <=50K, <=50K
33, Private,182556, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,fb29a15c-c5a5-4975-a31d-1ef2e79eb9b8, >50K, >50K
46, Private,215943, HS-grad,9, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,25388f02-ba7b-4822-94ab-d1d36dd39480, <=50K, <=50K
21, Private,211968, Some-college,10, Never-married, Sales, Own-child, White, Female,0,1762,28, United-States,37824b80-a844-4b99-bd15-7bdf3d363177, <=50K, <=50K
20, ?,200967, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,12, United-States,b0a9073d-7201-4f3e-8358-25cc45186567, <=50K, <=50K
64, Self-emp-not-inc,30664, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States,88e40af6-aa40-4873-9f0e-2ab94ef91a4a, <=50K, <=50K
18, Private,338836, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States,c23f14bd-1c7f-48a7-93d4-b1b3647c62ac, <=50K, <=50K
28, Private,67386, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,5ef78b7e-2d53-4f36-89ab-2d44bad0f29a, <=50K, <=50K
30, Self-emp-not-inc,182089, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,85, United-States,80970c05-d2db-454a-9f2c-113ad19840c1, <=50K, <=50K
62, Private,92178, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,aa34a289-6def-47c4-a00e-19c1a239799e, <=50K, <=50K
31, Private,348491, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States,9ae723c0-2203-4b3c-8393-74a17fbd2948, <=50K, <=50K
28, Local-gov,213195, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,47f05cb1-7320-44dc-8f3d-579734c3606c, >50K, >50K
32, Private,286689, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,42, United-States,75b22414-0ba7-4252-a63a-7aca7d5de2ea, >50K, >50K
26, Self-emp-not-inc,384276, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,4aeb0f8a-8857-4da5-b7f6-30b261dd8618, <=50K, <=50K
29, Private,241431, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States,38835aab-94f9-4db7-9564-98b65136420e, >50K, >50K
24, State-gov,197731, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,49, United-States,946d70d2-2998-457e-911f-55ca98a1b5a0, >50K, >50K
45, Private,243631, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, China,29a8cedd-bb70-4ba4-96ca-c6edbf4571f1, >50K, >50K
69, ?,337720, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,24, United-States,591d2578-5cba-46b8-8a51-c8bae6064895, <=50K, <=50K
64, ?,207321, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States,f73c17b7-2049-45d7-939f-8d549f5dc6a3, <=50K, <=50K
29, State-gov,67053, HS-grad,9, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Thailand,436e38ef-f8f7-4720-a9a6-52fbf24d8278, <=50K, <=50K
24, State-gov,211049, 7th-8th,4, Never-married, Tech-support, Unmarried, White, Female,0,0,20, United-States,af79d1d8-a538-422a-97cb-7b26118dee21, <=50K, <=50K
25, Private,19214, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,bd864c8f-0149-4b2a-917a-adbe2a80896f, <=50K, <=50K
55, Private,92215, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States,52bb56f0-0b67-4466-a139-5983bf5721b4, <=50K, <=50K
40, State-gov,188693, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,64712f25-9999-4e72-bc59-1ab4631fee8d, >50K, >50K
18, ?,184416, 10th,6, Never-married, ?, Own-child, Black, Male,0,0,30, United-States,78bd0c15-3a80-41e6-8d20-8b1db37446e3, <=50K, <=50K
37, Private,73715, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,7de8219a-e298-471d-b173-c182189403f7, >50K, >50K
29, Private,263005, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Germany,a0e5d918-4c9a-48b0-8128-6c2834d2810a, <=50K, <=50K
39, Private,192614, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,56, United-States,16f5059a-ccd3-4d90-a0b3-f57853aa52ac, <=50K, <=50K
34, Private,398988, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,122f28f1-9bfe-4463-a4f6-4c162648eadc, <=50K, <=50K
44, State-gov,111483, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,5ae9378d-afad-48fc-ad34-42475a9a0c78, >50K, >50K
36, Private,167482, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,440f47ec-9439-4381-a1b8-6f87a457c478, <=50K, <=50K
22, Private,214134, 10th,6, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,84, United-States,db236055-5886-4621-85a4-6aac4474237f, <=50K, <=50K
46, Local-gov,213668, 11th,7, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,77727bcc-cdb8-46b6-9edb-537566d52904, <=50K, <=50K
32, Private,222654, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,7589cd7c-0cd4-445b-8693-4fd7ada0c82c, <=50K, <=50K
45, Local-gov,55377, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,f751ff2f-ec5a-48b7-924b-367595ffd7c9, <=50K, <=50K
52, Private,102828, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40, United-States,6a6c0e5a-26dd-4c4f-98ac-2d6b5fd7cb1b, >50K, >50K
41, Local-gov,32185, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,a0488df8-f095-4f6f-821d-6c548f4dd034, >50K, >50K
26, Private,287797, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0b165a75-5f7c-452b-b342-4c8aacc746fe, <=50K, <=50K
51, Private,138179, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, White, Male,0,1876,40, United-States,d789e2ff-2b99-41b1-b5f4-858a6f6f2e7e, <=50K, <=50K
32, Private,188245, 11th,7, Never-married, Priv-house-serv, Unmarried, Black, Female,0,0,40, United-States,41d5813e-6c21-497f-8c0f-30e0a82b97c5, <=50K, <=50K
30, Private,38848, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,b7145b4d-5d91-49ec-ab60-a4a069b9973e, <=50K, <=50K
36, Private,297847, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,2001,40, United-States,b5477778-db3a-432a-a398-cbda7cdfef03, <=50K, <=50K
43, Self-emp-inc,33729, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,969254fd-3601-442b-84dd-08042e1767fc, >50K, >50K
42, Private,136986, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States,5bb7f793-2962-4273-8843-442eb651aec0, >50K, >50K
55, Local-gov,37869, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States,2d9bc63d-31b2-4576-af7f-6e535d422c08, <=50K, <=50K
30, Private,35644, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States,3c17a5ec-5ff5-4975-9653-1031de22fd2e, <=50K, <=50K
62, ?,250091, Bachelors,13, Divorced, ?, Not-in-family, White, Male,0,0,5, United-States,96324f58-ab7e-4441-ad14-5f44ac7de8ec, <=50K, <=50K
35, Private,204527, Masters,14, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,6b73a56c-42f5-4303-b926-0630f1f68e38, >50K, >50K
41, Private,277488, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,36, United-States,9fdf2b11-5b41-4fda-9a38-dc3c5b52f31d, <=50K, <=50K
32, Private,47932, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,32ee6100-c27a-42dc-afcc-a06ef62ff4e5, <=50K, <=50K
28, Private,154863, Bachelors,13, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, United-States,3bf50b5f-0ca7-4237-b246-5104f5b6bed8, <=50K, <=50K
50, Self-emp-not-inc,114758, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,4416,0,45, United-States,89e1cffb-fe59-4e45-8d03-68ff8fcb6b1c, <=50K, <=50K
37, Private,95855, 11th,7, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States,fb83db90-07e6-44e7-aa37-4eff3431a851, <=50K, <=50K
29, Private,199499, Assoc-voc,11, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States,2d4c849e-fa13-4b09-a8d7-372214229667, <=50K, <=50K
26, Private,177951, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States,356e6e13-cbbb-4a80-9449-34cde64e5e39, <=50K, <=50K
35, Private,135162, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,a0d565a1-2ced-4a96-b1d9-cca597cd9655, <=50K, <=50K
30, Private,161572, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,45, United-States,95360461-57d4-4359-8f41-306750dfa271, <=50K, <=50K
35, Private,64922, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States,5457ef48-6646-46f2-89ee-a3880fb5ff00, >50K, >50K
44, Private,98211, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,644a45d5-f864-4a81-8ffd-206325b7197d, >50K, >50K
48, Self-emp-not-inc,191389, Some-college,10, Separated, Sales, Unmarried, White, Female,0,0,50, United-States,62e6f36e-3799-48fd-b7c2-1672c72c10d1, <=50K, <=50K
31, Private,182237, 10th,6, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States,c73218c1-e1cc-4e7b-96ba-83f9a60fe0c5, <=50K, <=50K
40, Private,222848, 10th,6, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,32, United-States,f9d1323b-b8bb-4a7e-a2a8-f8dfadf80f5c, <=50K, <=50K
40, Private,175935, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,14084,0,40, United-States,a9b3b217-4ceb-492b-9e37-90aeb222334a, >50K, >50K
31, Private,209101, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States,58daf1b3-9602-45f7-ae21-56620ea15bd2, >50K, >50K
20, Private,141481, 11th,7, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,50, United-States,9ee397ad-b704-41f6-8d58-7e31ddde62ec, <=50K, <=50K
32, Private,180603, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,c3805e26-ce1b-47e7-ae58-87f0c9238ac3, >50K, >50K
49, Federal-gov,203505, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,5952ced7-e25a-48f6-9c4e-b5cc2777390c, <=50K, <=50K
28, ?,200819, 7th-8th,4, Divorced, ?, Own-child, White, Male,0,0,84, United-States,9d1b9fa5-151c-46ca-b7f3-137a4e61efd8, <=50K, <=50K
44, Self-emp-inc,64632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,8242fb62-2735-4bb6-8b5e-df47dfdb9dc4, <=50K, <=50K
35, Private,465326, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,4c045f40-efc2-403d-8ae7-b90474f1b479, <=50K, <=50K
44, Private,152629, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,3103,0,40, United-States,60c7eae5-a20f-48ae-890a-39a8942ece42, >50K, >50K
48, Private,247895, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States,4b3eff40-57ba-4c19-83e8-5974f70d8ed3, >50K, >50K
51, ?,182543, 1st-4th,2, Separated, ?, Unmarried, White, Female,0,0,40, Mexico,9f454f7f-0926-4398-a9bc-7ec174efd7da, <=50K, <=50K
23, Private,227594, 12th,8, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,64579ae5-67c3-45a6-ae01-b3e2fd3eab1b, <=50K, <=50K
33, Private,220362, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States,7d7fbc18-6e66-484e-bbe7-b87043b5371e, >50K, >50K
60, Self-emp-not-inc,106118, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,ce320ea2-10a7-4580-8105-389228934be7, >50K, >50K
30, Private,190385, Bachelors,13, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,13350acf-d72d-4aa8-acb5-f925709b4e6d, >50K, >50K
64, Private,47298, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,02bb3d3e-8cce-4a61-856b-0b12dd64f1cb, >50K, >50K
29, Self-emp-not-inc,341672, HS-grad,9, Married-spouse-absent, Transport-moving, Other-relative, Asian-Pac-Islander, Male,0,1564,50, India,ffdbbf10-a09f-4be2-a055-a928dbf46bca, >50K, >50K
32, Local-gov,203849, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,572b2c70-6ee5-454a-96b9-f7f1eb59a257, <=50K, <=50K
20, Private,159297, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States,aa53d9de-fd29-4ee4-a7da-bb3fdb3f32ac, <=50K, <=50K
37, Private,67125, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States,40b52ac6-7a9c-48b5-a324-1f2db0b7bde3, <=50K, <=50K
35, Private,145704, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,3942,0,35, United-States,11100a45-9766-4134-9fc5-3c9bbe23ae05, <=50K, <=50K
56, Private,182062, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,48, United-States,b1837f7d-128a-489f-8e6c-a97f91297f71, >50K, >50K
19, Private,693066, 12th,8, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States,1f0be428-050e-44a3-8f3d-858b73651f28, <=50K, <=50K
29, Private,119004, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,2179,40, United-States,6cf7b967-8b39-4562-b0ad-5fa0e4613752, <=50K, <=50K
72, Private,97304, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,2346,0,40, ?,29f9f44f-945c-405f-b335-fe8add47ebcd, <=50K, <=50K
60, Local-gov,101110, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States,8fc93240-2af6-429b-9fda-c6413ac3741f, >50K, >50K
57, Federal-gov,278763, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,2a5d33f9-5a40-47ca-99f9-d1ab2e393806, <=50K, <=50K
45, Self-emp-inc,32356, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,51, United-States,c77f0917-b8cf-4994-92b1-cfe708d37dfb, <=50K, <=50K
32, Private,42617, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States,b4d11e3e-5eaf-4a43-93e1-b33b8fc5f285, <=50K, <=50K
37, Private,341672, Bachelors,13, Separated, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Philippines,3b5ebced-9480-4786-9c2e-39d0c4fb594e, <=50K, <=50K
53, Local-gov,38795, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,4b65ecbe-83eb-415e-83d8-b9ca4dfe7ea3, <=50K, <=50K
49, Self-emp-inc,141058, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,2339,50, United-States,d09a11c8-b652-4b3e-9acf-c29363187e13, <=50K, <=50K
82, ?,194590, Assoc-voc,11, Widowed, ?, Not-in-family, White, Female,0,0,8, United-States,ec6879b4-6fd2-416e-9530-cf91f86afb42, <=50K, <=50K
29, Private,180758, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,9a92c54c-00ad-446e-9852-c45bdea99612, <=50K, <=50K
68, Private,224338, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,77e9f6de-19f3-4216-96f2-4fd38e780387, <=50K, <=50K
23, Private,83891, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States,3e0e7841-cf52-4bf4-9160-182c40240ad2, <=50K, <=50K
44, Private,184105, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,4386,0,40, United-States,c267ecef-c026-4668-b87e-db06bf77667c, >50K, >50K
24, State-gov,247075, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,20, United-States,f14a33ed-f2bd-4b78-934d-7231e15c72a4, <=50K, <=50K
18, ?,165532, 12th,8, Never-married, ?, Own-child, White, Male,0,0,25, United-States,d454a62c-84b1-4c94-ab1f-42e325ca16ab, <=50K, <=50K
27, Private,169117, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,1887,40, United-States,b0748093-17ed-4d0e-abf7-afbc3db88575, >50K, >50K
30, Private,123397, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States,86f0585d-4845-4889-ab16-adc99583a40a, <=50K, <=50K
